Job,Workcenter,Hours Remaining,Due date
IL0424,INDIRECT,0,4/29/2024
IL0424,INDIRECT,0,4/29/2024
IL0424,INDIRECT,0,4/29/2024
IL0424,INDIRECT,0,4/29/2024
IL0424,INDIRECT,0,4/29/2024
IL0424,INDIRECT,0,4/29/2024
IL0424,INDIRECT,0,4/29/2024
IL0424,INDIRECT,0,4/29/2024
IL0424,INDIRECT,0,4/29/2024
IL0424,INDIRECTSU,0,4/29/2024
204449,INSPECT,1.5,5/6/2024
204823,INSPECT,1.5,5/3/2024
203937,INSPECT,1.25,4/11/2024
202327,INSPECT,1,4/10/2024
203936,INSPECT,1,4/11/2024
203940,INSPECT,1,4/18/2024
204747,INSPECT,1,4/11/2024
204821,INSPECT,1,4/25/2024
202894-02,INSPECT,1,4/11/2024
204934,INSPECT,0.8,5/17/2024
203941,INSPECT,0.75,4/18/2024
204886,INSPECT,0.75,5/6/2024
203944-20,INSPECT,0.7,4/10/2024
203944-21,INSPECT,0.67,4/10/2024
202327,INSPECT,0.5,4/9/2024
204449,INSPECT,0.5,4/26/2024
204748,INSPECT,0.5,4/11/2024
204891,INSPECT,0.5,4/23/2024
204940,INSPECT,0.5,5/16/2024
202894-02,INSPECT,0.5,4/11/2024
204441-04,INSPECT,0.5,4/24/2024
203638,INSPECT,0.45,5/7/2024
204764,INSPECT,0.4,5/6/2024
203939,INSPECT,0.33,4/9/2024
204358,INSPECT,0.33,4/9/2024
200564,INSPECT,0.3,4/23/2024
200566,INSPECT,0.3,4/18/2024
200571,INSPECT,0.3,4/25/2024
200572,INSPECT,0.3,4/25/2024
203634,INSPECT,0.3,4/25/2024
203635,INSPECT,0.3,4/26/2024
204631,INSPECT,0.3,5/3/2024
204769,INSPECT,0.3,4/23/2024
204883-01,INSPECT,0.3,5/23/2024
204699,INSPECT,0.25,4/30/2024
204791,INSPECT,0.25,4/24/2024
204791,INSPECT,0.25,5/2/2024
204844,INSPECT,0.25,4/22/2024
204853,INSPECT,0.25,5/15/2024
204590-01,INSPECT,0.25,4/11/2024
204441-02J,INSPECT,0.23,-
204673,INSPECT,0.2,4/25/2024
204674,INSPECT,0.2,4/26/2024
204699,INSPECT,0.2,4/24/2024
204749,INSPECT,0.2,5/9/2024
204853,INSPECT,0.2,5/9/2024
204859,INSPECT,0.2,5/17/2024
204897,INSPECT,0.2,4/24/2024
204905,INSPECT,0.2,4/29/2024
204909,INSPECT,0.2,4/23/2024
204910,INSPECT,0.2,4/23/2024
204911,INSPECT,0.2,4/23/2024
204912,INSPECT,0.2,4/23/2024
204913,INSPECT,0.2,4/23/2024
204915,INSPECT,0.2,4/23/2024
204534-01,INSPECT,0.2,4/26/2024
204765-02,INSPECT,0.2,4/16/2024
204791-01,INSPECT,0.2,4/19/2024
204850SER,INSPECT,0.2,5/8/2024
204878-02,INSPECT,0.2,4/26/2024
204804,INSPECT,0.19,5/3/2024
204890,INSPECT,0.17,5/2/2024
204926,INSPECT,0.17,4/25/2024
204927,INSPECT,0.17,4/24/2024
201949-27F,INSPECT,0.17,11/3/2023
204441-04D,INSPECT,0.17,4/18/2024
204441-05,INSPECT,0.17,4/25/2024
204441-05A,INSPECT,0.17,4/19/2024
204534-02,INSPECT,0.17,4/9/2024
204765-01,INSPECT,0.17,4/26/2024
203938,INSPECT,0.15,4/12/2024
204874,INSPECT,0.15,4/24/2024
204922,INSPECT,0.15,4/26/2024
204830-01,INSPECT,0.15,4/19/2024
204832-01,INSPECT,0.15,4/15/2024
204878-01,INSPECT,0.15,4/26/2024
204441-03K,INSPECT,0.12,-
200207,INSPECT,0.1,4/9/2024
200212,INSPECT,0.1,4/9/2024
200213,INSPECT,0.1,4/9/2024
